max_trim,max_sem,desv_sem,prom_bim,max_mes_anterior,prom_mes_anterior,prom_sem,max_bim,mejor_gestion,prom_trim,pc_cant_moras_30_ult_12_meses,desv_trim,nro_gestiones,desv_bim,pc_cant_moras_30_ult_3_meses,dh_cant_entradas,pc_tiem_1er_prod_abierto_total,pc_cant_moras_60_ult_12_meses,gestiones_eficaces,pc_transaccional,dh_max_dia_entradas,pc_cupo_entidad,pc_cuotas_como_ppal,dh_val_entradas,pc_cant_moras_90_ult_12_meses,dh_max_dia_salidas,pc_cant_moras_60_ult_3_meses,pc_cuota_tarjeta_de_credito,cp_inicial_menos_saldo,pc_peor_estado_act_cta_aho,dia_pago,cp_cuotas_falta,pcons_tarjeta_de_credito,pc_cifin,gestiones_prod,pcons_vehiculos_sufi,cluster_recod,dh_avg_dia_retiros_d,dmi_max_egreso_diario,cpc_max_proc_deuda,dh_cant_otros_d,pc_cont_30_lt_12m_tot_sf,pc_cant_mora90_ult_12m_total,dmi_max_ingreso_diario,dh_val_otros_d,pc_ingreso_final,dh_cant_pagos_d,dmi_ingreso_total_mes,dh_val_pagos_d,pc_gasto_familiar,pc_cuotas_pagadas,cpc_avg_proc_deuda,cpc_sum_proc_deuda,dc_porc_prod_sin_mora,pc_ingreso_rutina_con_techo,pc_saldo_prom3_tdc_entidad,dh_cant_salidas,dh_min_dia_pagos_d,pc_ingreso_por_rutina,dh_min_dia_pago_tarj_d,cp_nro_cuota,dmi_egreso_total_mes,cp_valor_inicial,dh_max_dia_otros_d,cp_cuota_sobre_saldo,dc_sum_valor_inicial,dh_cant_pago_tarj_d,dh_max_dia_pagos_d,cp_saldo_sobre_inicial,pc_mediana_nom3,cp_esta_cuota_otro,dh_max_dia_retiros_d,dh_avg_dia_entradas,dh_avg_dia_pagos_d,dh_val_salidas,dc_sum_valor_cuota,dh_min_dia_tras_d,cp_porc_valorcuot_ing,pc_ind_ajustado,dh_val_retiros_d,pc_tiem_lt_prod_abie_total,marca_info_cifin_decode,dh_max_dia_pago_tarj_d,dc_valobli_ing,pc_cantidad_tdc_entidad,dh_min_dia_otros_d,dc_cant_obligaciones,cpc_sum_nro_cuota,cpc_avg_nro_cuota,cpc_max_nro_cuota,cp_saldo,cp_cuota_sobre_inicial,cpc_sum_saldo,cp_porc_saldo_ing,gsm_mejor_gestion,dh_min_dia_nomina_c,dh_max_dia_nomina_c,cp_valor_cuota,cpc_nro_cuota_tdc,gsm_prom_dias_gest,pc_cuota_no_rot_ent,dh_val_nomina_c,banca_completa,cpc_saldo_sobre_ing,dh_min_dia_pago_cred_d,cpc_saldo_tdc,pc_cuota_de_consumo,dh_cant_tras_d,dh_max_dia_comisio_d,cpc_avg_saldo,dc_max_saldo_sf,dh_val_pago_tarj_d,pc_productos_no_rotativos_entidad,pc_saldo_no_rot_ent,pc_vi_no_rotativos_entidad,dh_min_dia_entradas,pcons_hipotecario_vivienda,gsm_mejor_gestion_3m,dh_avg_dia_salidas,llave,segmentoestructural,subsegmentoestructural,anhomes_ciclo
0,11,4.490731195,0,0,0,1.833333333,0,0,0,1,0,0,0,1,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3000000,0,0,0,765000,0,0,0,0,3000000,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PYME,Pyme Pequena,201607
17,17,6.957010852,12,17,17,4,17,0,8,1,8.544003745,0,7.071067812,1,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3000000,0,0,0,765000,0,0,0,0,3000000,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,PYME,Pyme Pequena,201609
17,17,6.735478206,12,7,7,5.166666667,17,0,10.33333333,1,5.773502692,0,7.071067812,0,0,0,0,0,7710300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6553755,0,0,0,2313090,0,0,0,0,7710300,0,0,0,7710300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2931841.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,PYME,Pyme Pequena,201610
36,36,11.88276062,33,36,36,19,36,0,27.66666667,0,9.712534856,0,4.242640687,0,7,0,0,0,3150000,31,0,0,7245498,0,29,0,0,0,0,1,0,0,0,0,0,13,14.375,3309781,0,5,0,0,3500000,62911,2677500,2,7245498,5880735,945000,0,0,0,0,3150000,0,21,7,3150000,0,0,6772085,0,29,0,0,0,27,0,0,0,29,5.883333333,2.833333333,6772085,0,0,0,1197787.5,806975,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,29,0,0,0,0,0,0,4,0,0,11.17916667,6,PYME,Pyme Pequena,201701
36,36,10.41953294,27,18,18,20.83333333,36,0,28,0,9.16515139,0,12.72792206,0,2,0,0,0,3150000,31,0,0,1000000,0,27,0,0,0,0,1,0,0,0,0,0,13,16.2,1002318,0,0,0,0,1000000,0,2677500,4,1000000,1978774,945000,0,0,0,0,3150000,0,10,2,3150000,0,0,1998986,0,0,0,0,0,27,0,0,0,27,10,3.35,1998986,0,0,0,1197787.5,7962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,19,0,0,9.19,7,PYME,Pyme Pequena,201702
18,36,12.58040805,7.5,0,0,19.33333333,15,0,11,0,9.643650761,0,10.60660172,0,4,0,0,0,6670935.096,31,0,0,5107500,0,21,0,0,0,0,1,0,0,0,0,0,13,13,4224153,0,1,0,0,4207500,10100,6670935.096,5,5107500,4490658,1701088.45,0,0,0,0,6670935.096,0,13,1,6670935.096,0,0,5107405,0,8,0,0,0,16,0,0,0,21,6.555555556,1.166666667,5107405,0,0,0,3572285.744,604728,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,6,8,PYME,Pyme Pequena,201704
27,36,12.18879267,25,23,23,19.83333333,27,0,16.66666667,0,14.571662,0,2.828427125,0,5,0,0,0,6670935.096,31,0,0,2519025,0,30,0,0,0,0,1,0,0,0,0,0,13,21.66666667,2014797,0,1,0,0,2203000,10100,6670935.096,0,2519025,0,1701088.45,0,0,0,0,6670935.096,0,6,0,6670935.096,0,0,2026864,0,5,0,0,0,0,0,0,0,30,8.766666667,0,2026864,0,0,0,3572285.744,2008075,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,8.833333333,10,PYME,Pyme Pequena,201706
0,2,0.816496581,0,0,0,0.333333333,0,0,0,1,0,0,0,1,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3000000,0,0,0,765000,0,0,0,0,3000000,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,PYME,Pyme Pequena,201608
27,27,11.79265308,22,17,17,7.333333333,27,0,14.66666667,1,13.65039682,0,7.071067812,0,0,0,0,0,7710300,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6553755,0,0,0,2313090,0,0,0,0,7710300,0,0,0,7710300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2931841.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,PYME,Pyme Pequena,201610
32,32,14.46029045,16,0,0,17.5,32,0,20.33333333,0,17.67295486,0,22.627417,0,7,0,0,0,3150000,31,0,0,7245498,0,29,0,0,0,0,27,0,0,0,0,0,13,14.375,3309781,0,5,0,0,3500000,62911,2677500,2,7245498,5880735,945000,0,0,0,0,3150000,0,21,7,3150000,0,0,6772085,0,29,0,0,0,27,0,0,0,29,5.883333333,2.833333333,6772085,0,0,0,1197787.5,806975,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,29,0,0,0,0,0,0,4,0,0,11.17916667,14,PYME,Pyme Pequena,201701
